window_size,video_id,video_name,identity,accuracy,precision_not_behavior,precision_behavior,recall_not_behavior,recall_behavior,f1_not_behavior,f1_behavior
15,42,org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4,0,0.969325,1.0,0.666667,0.96732,1.0,0.983389,0.8
15,43,org-3-uploads-stage.study_439.cage_4751.2025-08-03.10.37.mp4,2,0.807143,0.858238,0.105263,0.929461,0.0512821,0.89243,0.0689655
15,44,org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4,1,0.750799,0.912442,0.385417,0.770428,0.660714,0.835443,0.486842
15,45,org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4,0,0.987342,1.0,0.952381,0.983051,1.0,0.991453,0.97561
15,46,org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4,0,0.900826,0.893805,1.0,1.0,0.4,0.943925,0.571429
15,47,org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4,1,0.884615,0.825,1.0,1.0,0.746988,0.90411,0.855172
15,48,org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4,2,0.768212,0.732673,0.84,0.902439,0.608696,0.808743,0.705882
15,49,org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4,0,0.877888,0.863118,0.975,0.995614,0.52,0.924644,0.678261
15,50,org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4,1,0.979592,1.0,0.909091,0.974359,1.0,0.987013,0.952381
15,51,org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4,1,0.984293,0.97973,1.0,1.0,0.934783,0.989761,0.966292
15,52,org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4,0,0.971963,0.964706,1.0,1.0,0.88,0.982036,0.93617
15,53,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4,0,0.957041,0.984293,0.675676,0.969072,0.806452,0.976623,0.735294
15,54,org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4,1,0.975,0.972028,1.0,1.0,0.809524,0.985816,0.894737
15,55,org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4,2,0.971429,0.976744,0.947368,0.988235,0.9,0.982456,0.923077
